index,Year,Modification,Number
1,2007,Phosphotyrosine,9053
2,2007,Phosphoserine,6729
3,2007,Phosphothreonine,1895
4,2007,Phosphohistidine,3
5,2007,Phosphoarginine,1
6,2009,Phosphoserine,35074
7,2009,Phosphotyrosine,10638
8,2009,Phosphothreonine,10286
9,2009,Phosphoarginine,52
10,2009,Phosphohistidine,40
11,2012,Phosphoserine,67671
12,2012,Phosphothreonine,30335
13,2012,Ubiquitination,32365
14,2012,Phosphotyrosine,28124
15,2012,N6-acetyllysine,16762
16,2012,Methylation,1853
17,2012,Dimethylation,933
18,2012,Sumoylation,603
19,2012,"N6,N6-dimethyllysine",338
20,2012,Trimethylation,184
21,2012,N-acetylserine,9
22,2012,N-acetylthreonine,4
23,2012,Phosphohistidine,6
24,2012,Phosphoarginine,1
25,2013,Phosphoserine,84246
26,2013,Phosphothreonine,39460
27,2013,Ubiquitination,34107
28,2013,Phosphotyrosine,33547
29,2013,N6-acetyllysine,17738
30,2013,Methylation,2223
31,2013,Dimethylation,1000
32,2013,Sumoylation,638
33,2013,"N6,N6-dimethyllysine",482
34,2013,O-Glycosylation,376
35,2013,Trimethylation,300
36,2013,Omega-N-methylarginine,63
37,2013,N6-methyllysine,42
38,2013,Acetylation,14
39,2013,Phosphohistidine,12
40,2013,S-methylcysteine,8
41,2013,Phosphoarginine,1
42,2015,Phosphoserine,115814
43,2015,Phosphothreonine,49999
44,2015,Phosphotyrosine,36770
45,2015,Ubiquitination,34221
46,2015,N6-acetyllysine,19202
47,2015,Methylation,3259
48,2015,Dimethylation,1289
49,2015,Sumoylation,744
50,2015,"N6,N6-dimethyllysine",501
51,2015,O-Glycosylation,394
52,2015,Trimethylation,302
53,2015,Acetylation,15
54,2015,Phosphohistidine,14
55,2015,S-methylcysteine,8
56,2015,Phosphoarginine,1
59,1999,Phosphotyrosine,196
60,2004,Phosphotyrosine,556
61,1999,Phosphoserine,688
62,1999,Phosphothreonine,168
63,1999,N6-acetyllysine,0
64,1999,Ubiquitination,0
65,1999,Sumoylation,0
66,2004,Phosphoserine,913
67,2004,Phosphothreonine,234
68,2014,Ubiquitination,34107
69,2014,Sumoylation,638
70,2014,N6-acetyllysine,17738
71,2014,Phosphoserine,84246
72,2014,Phosphothreonine,39460
73,2014,Phosphotyrosine,33547
74,2016,Phosphoserine,136002
75,2016,Phosphothreonine,57535
76,2016,Phosphotyrosine,39179
77,2016,Ubiquitination,36172
78,2016,N6-acetyllysine,21361
79,2016,N-Glycosylation,16003
80,2016,Methylation,3266
81,2016,O-Glycosylation,2842
82,2016,Dimethylation,1289
83,2018,Phosphoserine,175541
84,2018,Phosphothreonine,68351
85,2018,Phosphotyrosine,46097
86,2018,Ubiquitination,42653
87,2018,N6-acetyllysine,22878
88,2018,N-Glycosylation,16003
89,2018,Methylation,12984
90,2018,Sumoylation,7032
91,2018,O-Glycosylation,2738
92,2018,Dimethylation,1541
93,2017,Phosphoserine,175541
94,2017,Phosphothreonine,68351
95,2017,Phosphotyrosine,46097
96,2017,Ubiquitination,42653
97,2017,N6-acetyllysine,22878
98,2017,N-Glycosylation,16003
99,2017,Methylation,12984
100,2017,Sumoylation,7032
101,2017,O-Glycosylation,2738
102,2017,Dimethylation,1541